name,latitude,longitude,Hotel_Name
Sorn,13.723242,100.56848000000001,บริษัท ไทย บูติค โฮเต็ล แอนด์ เรสซิเดนซ์ จำกัด
Savelberg,13.738216,100.54642,Oriental Residence Bangkok
Saneh Jaan,13.735739,100.54605,"Viiia Santi (Thailand) Co.,Ltd."
Gaa,13.737805999999999,100.54275,The Gardens @ Sindhorn Kempinski Hotel
Methavalai Sorndaeng,13.756321,100.502045,woradahotel
Jay Fai,13.752614000000001,100.50466,Tim Mansion Bangkok Hotel
Nahm,13.724357000000001,100.53926,SATHORN VISTA
J'AIME by Jean-Michel Lorain,13.718885,100.54632600000001,유사톤호텔
Saawaan,13.721809,100.53741,Served BKK
Le Du,13.725005,100.52939,CP Guest House
Ruean Panya,13.558403,100.28264,บ้านตูนซักรีด
PRU,8.034298,98.2764,บริษัท ตรีสราเอสเตท แมเนจเมนท์ จำกัด
Blue Duck Tavern,38.905373,-77.05128,"The Westin Georgetown, Washington D.C."
Tail Up Goat,38.9235,-77.043274,The LINE DC
Komi,38.910107,-77.03836,Sojourn on Q
Sushi Taro,38.909991999999995,-77.03834,Sojourn on Q
Plume,38.906,-77.03671,The Jefferson
Siren by RW,38.907776,-77.035446,The Darcy
Bresca,38.91584,-77.0321,CARDOZO Guesthouse studio
The Dabney,38.906292,-77.024666,Duo Housing
Métier,38.903503,-77.0218,New York Avenue in NE
Kinship,38.903282,-77.0218,New York Avenue in NE
Fiola,38.89416,-77.02032,Global Luxury Suites at the National Mall
Masseria,38.909504,-76.99908,"Motel 6 Washington, DC - Convention Center"
Rose's Luxury,38.88064,-76.99515,Casa P
Loch Bay,57.514869999999995,-6.57114,Henderson House
Braidwoods,55.69474,-4.7425,THE RIGBY HUGHES CAMPHOUSEE
Eipic,54.595898,-5.932242400000001,easyHotel Belfast
OX,54.59891,-5.9219800000000005,The Inns Newtownbreda
The Peat Inn,56.27861,-2.8845797,The Peat Inn Restaurant with Rooms
Kitchin,55.976967,-3.1728419999999997,Mya
Martin Wishart,55.975519999999996,-3.1701900000000003,Shore Flat
Number One,55.952980000000004,-3.18966,The Balmoral
21212,55.95674,-3.18018,Halcyon Hotel
The Cellar,56.222126,-2.6963209999999997,Pittenweem Properties
Forest Side,54.46396,-3.0157998,Forest Side Hotel
HRiSHi,54.35013000000001,-2.91172,The Oaks
Rogan & Co,54.20074,-2.95464,Ford House Cartmel
House of Tides,54.967580000000005,-1.61127,Innside Newcastle
Sosban & The Old Butchers,53.225925,-4.163006,Bulkeley Arms
Northcote,53.80933,-2.4476,Northcote
Yorke Arms,54.13435,-1.8183095,Boggle Dyke Cottage
Fraiche,53.38183000000001,-3.04307,Shrewsbury Lodge
White Swan,53.83916,-2.25097,The Old Post Office
Tyddyn Llan,52.92405,-3.44329,Tyddyn Llan
Ynyshir,52.54476,-3.9449099999999997,Ynyshir Restaurant and Rooms
Black Swan,54.21205,-1.1879198999999998,The Black Swan at Oldstead
Simon Radley at Chester Grosvenor,53.19064,-2.8891299999999998,The Chester Grosvenor Hotel
Star Inn at Harome,54.23101,-1.01023,Cross House Lodge
